PARTITION HOSTNAMES CPUS(A/I/O/T) MEMORY
batch cn512-03-l 32/8/0/40 375618
batch cn512-03-r 16/24/0/40 375618
batch cn512-04-r 16/24/0/40 375618
batch cn512-05-l 16/24/0/40 375618
batch cn512-05-r 36/4/0/40 375618
batch cn512-06-r 20/20/0/40 375618
batch cn512-07-l 16/24/0/40 375618
batch cn512-07-r 16/24/0/40 375618
batch cn512-08-r 23/17/0/40 375618
batch cn512-09-l 16/24/0/40 375618
batch cn512-10-l 28/12/0/40 375618
batch cn512-10-r 29/11/0/40 375618
batch cn512-11-l 29/11/0/40 375618
batch cn512-11-r 18/22/0/40 375618
batch cn512-12-l 29/11/0/40 375618
batch cn512-12-r 29/11/0/40 375618
batch cn512-13-r 29/11/0/40 375618
batch cn512-14-l 29/11/0/40 375618
batch cn512-14-r 29/11/0/40 375618
batch cn512-15-l 29/11/0/40 375618
batch cn512-15-r 29/11/0/40 375618
batch cn512-16-r 36/4/0/40 375618
batch cn512-17-r 32/8/0/40 375618
batch cn512-18-l 36/4/0/40 375618
batch cn512-19-l 16/24/0/40 375618
batch cn512-19-r 16/24/0/40 375618
batch cn512-20-l 16/24/0/40 375618
batch cn512-20-r 16/24/0/40 375618
batch cn512-21-l 36/4/0/40 375618
batch cn512-22-l 36/4/0/40 375618
batch cn512-22-r 20/20/0/40 375618
batch cn512-24-r 32/8/0/40 375618
batch cn512-25-l 16/24/0/40 375618
batch cn512-25-r 32/8/0/40 375618
batch cn512-26-l 32/8/0/40 375618
batch cn512-26-r 32/8/0/40 375618
batch cn512-27-r 16/24/0/40 375618
batch cn603-02-l 16/24/0/40 375618
batch cn603-02-r 33/7/0/40 375618
batch cn603-04-r 25/15/0/40 375618
batch cn603-12-l 16/24/0/40 375618
batch cn603-12-r 32/8/0/40 375618
batch cn603-13-l 2/38/0/40 375618
batch cn603-14-r 2/38/0/40 375618
batch cn603-15-l 16/24/0/40 375618
batch cn603-15-r 16/24/0/40 375618
batch cn603-16-l 32/8/0/40 375618
batch cn603-16-r 16/24/0/40 375618
batch cn603-17-r 1/39/0/40 375618
batch cn603-18-l 36/4/0/40 375618
batch cn603-19-l 16/24/0/40 375618
batch cn603-19-r 1/39/0/40 375618
batch cn603-20-l 3/37/0/40 375618
batch cn603-21-r 16/24/0/40 375618
batch cn603-22-r 16/24/0/40 375618
batch cn603-23-l 32/8/0/40 375618
batch cn603-23-r 36/4/0/40 375618
batch cn603-24-r 16/24/0/40 375618
batch cn603-25-r 36/4/0/40 375618
batch cn603-26-r 33/7/0/40 375618
batch cn603-28-l 16/24/0/40 375618
batch cn603-28-r 32/8/0/40 375618
batch cn603-29-l 16/24/0/40 375618
batch cn603-29-r 32/8/0/40 375618
batch cn605-02-l 20/20/0/40 375618
batch cn605-03-l 2/38/0/40 375618
batch cn605-03-r 33/7/0/40 375618
batch cn605-04-l 36/4/0/40 375618
batch cn605-04-r 32/8/0/40 375618
batch cn605-06-r 16/24/0/40 375618
batch cn605-07-l 16/24/0/40 375618
batch cn605-07-r 33/7/0/40 375618
batch cn605-08-l 32/8/0/40 375618
batch cn605-08-r 16/24/0/40 375618
batch cn605-09-l 33/7/0/40 375618
batch cn605-09-r 16/24/0/40 375618
batch cn605-10-l 2/38/0/40 375618
batch cn605-10-r 16/24/0/40 375618
batch cn605-11-l 16/24/0/40 375618
batch cn605-11-r 16/24/0/40 375618
batch cn605-12-l 33/7/0/40 375618
batch cn605-12-r 16/24/0/40 375618
batch cn605-13-l 16/24/0/40 375618
batch cn605-14-r 32/8/0/40 375618
batch cn605-15-l 32/8/0/40 375618
batch cn605-17-l 33/7/0/40 375618
batch cn605-18-l 16/24/0/40 375618
batch cn605-18-r 36/4/0/40 375618
batch cn605-19-r 17/23/0/40 375618
batch cn605-20-l 36/4/0/40 375618
batch cn605-20-r 16/24/0/40 375618
batch cn605-21-r 16/24/0/40 375618
batch cn605-22-l 1/39/0/40 375618
batch cn605-22-r 16/24/0/40 375618
batch cn605-23-r 32/8/0/40 375618
batch cn605-24-r 32/8/0/40 375618
batch cn605-26-l 16/24/0/40 375618
batch cn605-27-l 36/4/0/40 375618
batch dgpu501-02 4/32/0/36 252715
batch dgpu501-14 1/35/0/36 252715
batch dgpu501-18 1/35/0/36 252715
batch dgpu501-22 1/35/0/36 252715
batch dgpu501-26 6/30/0/36 252715
batch dgpu501-30 7/29/0/36 252715
batch dgpu502-29 6/30/0/36 252715
batch dgpu502-33 27/9/0/36 252715
batch dgpu502-37 13/23/0/36 252715
batch dgpu609-10 1/35/0/36 252715
batch dgpu609-18 2/34/0/36 252715
batch dgpu609-22 6/30/0/36 252715
batch gpu208-02 18/30/0/48 763000
batch gpu208-06 33/15/0/48 763000
batch gpu210-06 39/9/0/48 763000
batch gpu210-18 40/8/0/48 763000
batch gpu211-02 32/16/0/48 763000
batch gpu211-14 39/9/0/48 763000
batch gpu212-02 39/9/0/48 763000
batch gpu212-14 44/4/0/48 763000
batch gpu212-18 40/8/0/48 763000
batch gpu213-10 33/15/0/48 763000
batch gpu213-14 27/21/0/48 763000
batch gpu214-02 28/20/0/48 763000
batch gpu214-06 38/10/0/48 763000
batch gpu214-18 33/15/0/48 763000
batch gpu502-01 23/9/0/32 375618
batch gpu502-06 1/31/0/32 375618
batch gpu502-11 6/26/0/32 375618
batch gpu504-37 1/31/0/32 375618
batch gpu510-12 28/4/0/32 375618
batch gpu510-17 13/19/0/32 375618
batch gpu609-02 13/19/0/32 375618
batch gpu609-03 12/20/0/32 375618
batch gpu609-04 6/26/0/32 375618
batch gpu609-05 12/20/0/32 375618
batch gpu609-06 10/22/0/32 375618
batch gpu609-07 7/25/0/32 375618
batch gpu609-08 24/8/0/32 375618
batch gpu609-09 13/19/0/32 375618
batch lm508-02 17/31/0/48 3080000
batch lm508-04 18/30/0/48 3080000
batch lm508-06 16/32/0/48 3080000
batch lm508-08 17/31/0/48 3080000
batch lm508-10 33/15/0/48 3080000
batch lm508-12 17/31/0/48 3080000
batch lm602-02 16/16/0/32 3080000
batch lm602-04 16/16/0/32 3080000
batch lm602-06 16/16/0/32 3080000
batch lm602-08 16/16/0/32 3080000
batch lm602-10 16/32/0/48 3080000
batch lm602-12 16/32/0/48 3080000
batch lm602-14 16/32/0/48 3080000
batch lm602-18 16/32/0/48 3080000
batch lm602-20 16/32/0/48 3080000
batch lm602-22 16/32/0/48 3080000
batch lm602-24 32/16/0/48 3080000
batch cn509-04-l 40/0/0/40 375618
batch cn509-04-r 40/0/0/40 375618
batch cn509-05-l 40/0/0/40 375618
batch cn509-07-r 40/0/0/40 375618
batch cn509-09-r 40/0/0/40 375618
batch cn509-10-l 40/0/0/40 375618
batch cn509-12-l 40/0/0/40 375618
batch cn509-16-l 40/0/0/40 375618
batch cn509-19-r 40/0/0/40 375618
batch cn509-22-r 40/0/0/40 375618
batch cn509-23-r 40/0/0/40 375618
batch cn509-28-l 40/0/0/40 375618
batch cn512-09-r 40/0/0/40 375618
batch cn512-13-l 40/0/0/40 375618
batch cn512-16-l 40/0/0/40 375618
batch cn512-24-l 40/0/0/40 375618
batch cn512-27-l 40/0/0/40 375618
batch cn603-03-l 40/0/0/40 375618
batch cn603-05-l 40/0/0/40 375618
batch cn603-05-r 40/0/0/40 375618
batch cn603-06-l 40/0/0/40 375618
batch cn603-08-l 40/0/0/40 375618
batch cn603-10-r 40/0/0/40 375618
batch cn603-11-r 40/0/0/40 375618
batch cn603-13-r 40/0/0/40 375618
batch cn603-17-l 40/0/0/40 375618
batch cn603-18-r 40/0/0/40 375618
batch cn603-20-r 40/0/0/40 375618
batch cn603-21-l 40/0/0/40 375618
batch cn603-22-l 40/0/0/40 375618
batch cn603-24-l 40/0/0/40 375618
batch cn603-25-l 40/0/0/40 375618
batch cn603-27-l 40/0/0/40 375618
batch cn603-27-r 40/0/0/40 375618
batch cn605-02-r 40/0/0/40 375618
batch cn605-05-l 40/0/0/40 375618
batch cn605-05-r 40/0/0/40 375618
batch cn605-06-l 40/0/0/40 375618
batch cn605-14-l 40/0/0/40 375618
batch cn605-15-r 40/0/0/40 375618
batch cn605-16-l 40/0/0/40 375618
batch cn605-16-r 40/0/0/40 375618
batch cn605-17-r 40/0/0/40 375618
batch cn605-19-l 40/0/0/40 375618
batch cn605-21-l 40/0/0/40 375618
batch cn605-24-l 40/0/0/40 375618
batch cn605-25-r 40/0/0/40 375618
batch cn605-26-r 40/0/0/40 375618
batch cn612-13-l 20/0/0/20 120832
batch cn612-13-r 20/0/0/20 120832
batch cn612-14-l 20/0/0/20 120832
batch cn612-16-l 20/0/0/20 120832
batch cn612-16-r 20/0/0/20 120832
batch cn612-18-r 20/0/0/20 120832
batch cn612-27-r 20/0/0/20 251904
batch cn612-28-l 20/0/0/20 120832
batch cn612-28-r 20/0/0/20 120832
batch cn612-32-r 20/0/0/20 120832
batch cn612-33-l 20/0/0/20 120832
batch cn612-34-r 20/0/0/20 251904
batch cn612-37-r 20/0/0/20 120832
batch gpu214-10 48/0/0/48 763000
batch gpu510-02 32/0/0/32 375618
batch lm602-16 48/0/0/48 3080000
batch cn612-02-l 0/20/0/20 120832
batch cn612-02-r 0/20/0/20 120832
batch cn612-03-l 0/20/0/20 120832
batch cn612-03-r 0/20/0/20 120832
batch cn612-04-l 0/20/0/20 120832
batch cn612-04-r 0/20/0/20 120832
batch cn612-05-l 0/20/0/20 120832
batch cn612-05-r 0/20/0/20 120832
batch cn612-06-l 0/20/0/20 120832
batch cn612-06-r 0/20/0/20 120832
batch cn612-07-l 0/20/0/20 120832
batch cn612-07-r 0/20/0/20 120832
batch cn612-08-r 0/20/0/20 120832
batch cn612-09-l 0/20/0/20 120832
batch cn612-09-r 0/20/0/20 120832
batch cn612-10-l 0/20/0/20 120832
batch cn612-10-r 0/20/0/20 120832
batch cn612-11-l 0/20/0/20 251904
batch cn612-11-r 0/20/0/20 120832
batch cn612-12-l 0/20/0/20 251904
batch cn612-12-r 0/20/0/20 120832
batch cn612-14-r 0/20/0/20 120832
batch cn612-15-l 0/20/0/20 120832
batch cn612-15-r 0/20/0/20 251904
batch cn612-17-l 0/20/0/20 120832
batch cn612-17-r 0/20/0/20 120832
batch cn612-18-l 0/20/0/20 120832
batch cn612-19-l 0/20/0/20 120832
batch cn612-19-r 0/20/0/20 120832
batch cn612-20-l 0/20/0/20 120832
batch cn612-20-r 0/20/0/20 120832
batch cn612-24-l 0/20/0/20 120832
batch cn612-24-r 0/20/0/20 120832
batch cn612-25-l 0/20/0/20 120832
batch cn612-26-l 0/20/0/20 120832
batch cn612-26-r 0/20/0/20 251904
batch cn612-27-l 0/20/0/20 120832
batch cn612-29-l 0/20/0/20 120832
batch cn612-29-r 0/20/0/20 120832
batch cn612-30-l 0/20/0/20 120832
batch cn612-30-r 0/20/0/20 120832
batch cn612-31-l 0/20/0/20 120832
batch cn612-31-r 0/20/0/20 120832
batch cn612-32-l 0/20/0/20 120832
batch cn612-33-r 0/20/0/20 120832
batch cn612-34-l 0/20/0/20 120832
batch cn612-35-l 0/20/0/20 120832
batch cn612-35-r 0/20/0/20 120832
batch cn612-36-l 0/20/0/20 120832
batch cn612-36-r 0/20/0/20 120832
batch cn612-37-l 0/20/0/20 120832
batch cn612-38-r 0/20/0/20 120832
batch cn612-39-l 0/20/0/20 120832
